record_type,mode,n_ops,repeat,threads,k_value,planned_ops,successful_ops,failed_ops,total_ms,avg_ms_per_success,tps_success,event_rows,log_rows,checkpoint_rows,mean_total_ms,stddev_total_ms,min_total_ms,max_total_ms,iqr_total_ms
RUN,STANDARD,10000,21,1,0,10000,10000,0,21330.980,2.133097970,468.802,0,0,0,,,,,
RUN,STANDARD,10000,22,1,0,10000,10000,0,21331.624,2.133162380,468.788,0,0,0,,,,,
RUN,STANDARD,10000,23,1,0,10000,10000,0,21378.469,2.137846930,467.760,0,0,0,,,,,
RUN,STANDARD,10000,24,1,0,10000,10000,0,21372.861,2.137286100,467.883,0,0,0,,,,,
RUN,STANDARD,10000,25,1,0,10000,10000,0,21403.554,2.140355350,467.212,0,0,0,,,,,
RUN,STANDARD,10000,26,1,0,10000,10000,0,21408.991,2.140899110,467.093,0,0,0,,,,,
RUN,STANDARD,10000,27,1,0,10000,10000,0,21507.331,2.150733140,464.958,0,0,0,,,,,
RUN,STANDARD,10000,28,1,0,10000,10000,0,21396.944,2.139694360,467.356,0,0,0,,,,,
RUN,STANDARD,10000,29,1,0,10000,10000,0,21457.195,2.145719500,466.044,0,0,0,,,,,
RUN,STANDARD,10000,30,1,0,10000,10000,0,21599.369,2.159936920,462.976,0,0,0,,,,,
SUMMARY,STANDARD,10000,-1,1,0,,,,21435.794,2.143579430,466.510,,,,21478.951,134.538,21330.980,21947.772,140.499
RUN,STANDARD,50000,1,1,0,50000,50000,0,107207.664,2.144153276,466.385,0,0,0,,,,,
RUN,STANDARD,50000,2,1,0,50000,50000,0,111167.063,2.223341256,449.774,0,0,0,,,,,
RUN,STANDARD,50000,3,1,0,50000,50000,0,110417.621,2.208352422,452.826,0,0,0,,,,,
RUN,STANDARD,50000,4,1,0,50000,50000,0,110036.149,2.200722984,454.396,0,0,0,,,,,
RUN,STANDARD,50000,5,1,0,50000,50000,0,118234.420,2.364688396,422.889,0,0,0,,,,,
RUN,STANDARD,50000,6,1,0,50000,50000,0,142666.072,2.853321442,350.469,0,0,0,,,,,
RUN,STANDARD,50000,7,1,0,50000,50000,0,153993.692,3.079873834,324.689,0,0,0,,,,,
RUN,STANDARD,50000,8,1,0,50000,50000,0,101780.054,2.035601072,491.255,0,0,0,,,,,
RUN,STANDARD,50000,9,1,0,50000,50000,0,101694.305,2.033886100,491.670,0,0,0,,,,,
RUN,STANDARD,50000,10,1,0,50000,50000,0,102030.942,2.040618842,490.047,0,0,0,,,,,
RUN,STANDARD,50000,11,1,0,50000,50000,0,102455.090,2.049101800,488.019,0,0,0,,,,,
RUN,STANDARD,50000,12,1,0,50000,50000,0,107611.068,2.152221350,464.636,0,0,0,,,,,
RUN,STANDARD,50000,13,1,0,50000,50000,0,104791.323,2.095826452,477.139,0,0,0,,,,,
RUN,STANDARD,50000,14,1,0,50000,50000,0,104759.156,2.095183114,477.285,0,0,0,,,,,
RUN,STANDARD,50000,15,1,0,50000,50000,0,104640.699,2.092813984,477.826,0,0,0,,,,,
RUN,STANDARD,50000,16,1,0,50000,50000,0,105047.048,2.100940962,475.977,0,0,0,,,,,
RUN,STANDARD,50000,17,1,0,50000,50000,0,135953.279,2.719065576,367.773,0,0,0,,,,,
RUN,STANDARD,50000,18,1,0,50000,50000,0,119255.020,2.385100396,419.270,0,0,0,,,,,
RUN,STANDARD,50000,19,1,0,50000,50000,0,119067.441,2.381348810,419.930,0,0,0,,,,,
RUN,STANDARD,50000,20,1,0,50000,50000,0,102033.920,2.040678392,490.033,0,0,0,,,,,
RUN,STANDARD,50000,21,1,0,50000,50000,0,102034.256,2.040685128,490.032,0,0,0,,,,,
RUN,STANDARD,50000,22,1,0,50000,50000,0,101044.253,2.020885056,494.833,0,0,0,,,,,
RUN,STANDARD,50000,23,1,0,50000,50000,0,102504.205,2.050084092,487.785,0,0,0,,,,,
RUN,STANDARD,50000,24,1,0,50000,50000,0,104047.715,2.080954298,480.549,0,0,0,,,,,
RUN,STANDARD,50000,25,1,0,50000,50000,0,104196.118,2.083922368,479.864,0,0,0,,,,,
RUN,STANDARD,50000,26,1,0,50000,50000,0,103467.297,2.069345942,483.244,0,0,0,,,,,
RUN,STANDARD,50000,27,1,0,50000,50000,0,103839.148,2.076782952,481.514,0,0,0,,,,,
RUN,STANDARD,50000,28,1,0,50000,50000,0,101848.314,2.036966286,490.926,0,0,0,,,,,
RUN,STANDARD,50000,29,1,0,50000,50000,0,103625.641,2.072512822,482.506,0,0,0,,,,,
RUN,STANDARD,50000,30,1,0,50000,50000,0,103594.807,2.071896132,482.650,0,0,0,,,,,
SUMMARY,STANDARD,50000,-1,1,0,,,,104418.409,2.088368176,478.845,,,,109834.793,12934.832,101044.253,153993.692,7854.884
